file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,106,css,70a268f6,Aryan Kanuparti,2025-01-17,17:43:04,-08:00,2025-01-17T17:43:04-08:00,0,0
style.css,107,css,70a268f6,Aryan Kanuparti,2025-01-17,17:43:04,-08:00,2025-01-17T17:43:04-08:00,0,0
style.css,108,css,70a268f6,Aryan Kanuparti,2025-01-17,17:43:04,-08:00,2025-01-17T17:43:04-08:00,0,11
style.css,109,css,23cf4c8c,Aryan Kanuparti,2025-01-24,17:43:09,-08:00,2025-01-24T17:43:09-08:00,0,17
style.css,110,css,70a268f6,Aryan Kanuparti,2025-01-17,17:43:04,-08:00,2025-01-17T17:43:04-08:00,0,17
style.css,111,css,70a268f6,Aryan Kanuparti,2025-01-17,17:43:04,-08:00,2025-01-17T17:43:04-08:00,0,0
style.css,112,css,70a268f6,Aryan Kanuparti,2025-01-17,17:43:04,-08:00,2025-01-17T17:43:04-08:00,0,0
style.css,113,css,70a268f6,Aryan Kanuparti,2025-01-17,17:43:04,-08:00,2025-01-17T17:43:04-08:00,0,10
style.css,114,css,70a268f6,Aryan Kanuparti,2025-01-17,17:43:04,-08:00,2025-01-17T17:43:04-08:00,0,14
style.css,115,css,70a268f6,Aryan Kanuparti,2025-01-17,17:43:04,-08:00,2025-01-17T17:43:04-08:00,0,11
style.css,116,css,70a268f6,Aryan Kanuparti,2025-01-17,17:43:04,-08:00,2025-01-17T17:43:04-08:00,0,22
style.css,117,css,70a268f6,Aryan Kanuparti,2025-01-17,17:43:04,-08:00,2025-01-17T17:43:04-08:00,0,14
style.css,118,css,70a268f6,Aryan Kanuparti,2025-01-17,17:43:04,-08:00,2025-01-17T17:43:04-08:00,0,22
style.css,119,css,23cf4c8c,Aryan Kanuparti,2025-01-24,17:43:09,-08:00,2025-01-24T17:43:09-08:00,0,18
style.css,120,css,23cf4c8c,Aryan Kanuparti,2025-01-24,17:43:09,-08:00,2025-01-24T17:43:09-08:00,0,25
style.css,121,css,23cf4c8c,Aryan Kanuparti,2025-01-24,17:43:09,-08:00,2025-01-24T17:43:09-08:00,0,14
style.css,122,css,70a268f6,Aryan Kanuparti,2025-01-17,17:43:04,-08:00,2025-01-17T17:43:04-08:00,0,0
style.css,123,css,70a268f6,Aryan Kanuparti,2025-01-17,17:43:04,-08:00,2025-01-17T17:43:04-08:00,0,0
style.css,124,css,70a268f6,Aryan Kanuparti,2025-01-17,17:43:04,-08:00,2025-01-17T17:43:04-08:00,0,19
style.css,125,css,70a268f6,Aryan Kanuparti,2025-01-17,17:43:04,-08:00,2025-01-17T17:43:04-08:00,0,12
style.css,126,css,70a268f6,Aryan Kanuparti,2025-01-17,17:43:04,-08:00,2025-01-17T17:43:04-08:00,0,19
style.css,127,css,70a268f6,Aryan Kanuparti,2025-01-17,17:43:04,-08:00,2025-01-17T17:43:04-08:00,0,20
style.css,128,css,70a268f6,Aryan Kanuparti,2025-01-17,17:43:04,-08:00,2025-01-17T17:43:04-08:00,0,13
style.css,129,css,70a268f6,Aryan Kanuparti,2025-01-17,17:43:04,-08:00,2025-01-17T17:43:04-08:00,0,25
style.css,130,css,70a268f6,Aryan Kanuparti,2025-01-17,17:43:04,-08:00,2025-01-17T17:43:04-08:00,0,12
style.css,131,css,70a268f6,Aryan Kanuparti,2025-01-17,17:43:04,-08:00,2025-01-17T17:43:04-08:00,0,12
style.css,132,css,70a268f6,Aryan Kanuparti,2025-01-17,17:43:04,-08:00,2025-01-17T17:43:04-08:00,0,18
style.css,133,css,70a268f6,Aryan Kanuparti,2025-01-17,17:43:04,-08:00,2025-01-17T17:43:04-08:00,0,15
style.css,134,css,70a268f6,Aryan Kanuparti,2025-01-17,17:43:04,-08:00,2025-01-17T17:43:04-08:00,0,0
style.css,135,css,70a268f6,Aryan Kanuparti,2025-01-17,17:43:04,-08:00,2025-01-17T17:43:04-08:00,0,0
style.css,136,css,70a268f6,Aryan Kanuparti,2025-01-17,17:43:04,-08:00,2025-01-17T17:43:04-08:00,0,18
style.css,137,css,70a268f6,Aryan Kanuparti,2025-01-17,17:43:04,-08:00,2025-01-17T17:43:04-08:00,0,18
style.css,138,css,70a268f6,Aryan Kanuparti,2025-01-17,17:43:04,-08:00,2025-01-17T17:43:04-08:00,0,25
style.css,139,css,70a268f6,Aryan Kanuparti,2025-01-17,17:43:04,-08:00,2025-01-17T17:43:04-08:00,0,0
style.css,140,css,9e7a96be,Aryan Kanuparti,2025-01-17,18:10:42,-08:00,2025-01-17T18:10:42-08:00,0,0
style.css,141,css,9e7a96be,Aryan Kanuparti,2025-01-17,18:10:42,-08:00,2025-01-17T18:10:42-08:00,0,8
style.css,142,css,9e7a96be,Aryan Kanuparti,2025-01-17,18:10:42,-08:00,2025-01-17T18:10:42-08:00,0,0
style.css,143,css,80e15d66,Aryan Kanuparti,2025-01-17,18:18:18,-08:00,2025-01-17T18:18:18-08:00,0,10
style.css,144,css,9e7a96be,Aryan Kanuparti,2025-01-17,18:10:42,-08:00,2025-01-17T18:10:42-08:00,0,13
